final_price,initial_price
22.9,
47.88,70.8
33.24,37.99
49.99,71.99
12.99,29.0
28.0,40.0
19.99,31.99
22.99,25.99
6.09,11.98
24.99,37.99
36.98,68.0
46.49,56.2
123.0,178.53
49.5,55.0
44.88,59.88
14.99,18.99
14.99,16.99
19.99,34.0
64.99,77.99
11.89,17.99
15.99,39.99
13.99,35.99
23.93,26.95
22.09,27.25
29.99,34.99
25.99,55.98
30.0,34.0
57.6,64.0
19.98,23.99
0.99,1.58
44.0,135.0
19.98,26.99
239.99,562.99
54.99,
15.95,48.99
13.83,29.0
9.84,
204.99,339.99
12.45,15.89
354.99,469.99
24.99,65.98
19.8,33.0
92.69,102.99
9.99,12.99
15.99,18.99
11.24,42.99
20.87,23.99
29.99,41.99
9.99,16.99
14.99,18.99
54.9,61.0
75.99,115.0
569.99,909.99
42.99,47.99
41.86,46.99
6.36,10.35
32.77,39.41
23.39,25.99
38.99,57.99
15.29,16.99
22.5,25.0
24.99,31.24
140.8,176.0
22.49,24.99
56.7,63.0
19.99,22.45
34.97,46.97
18.99,35.99
13.99,30.99
19.99,38.99
15.99,18.99
5.79,6.59
23.99,45.99
9.3,13.29
9.94,12.99
16.73,
64.9,84.0
6.13,12.0
15.99,48.0
14.61,29.0
11.44,13.99
24.99,27.99
18.49,20.99
26.64,31.1
39.99,47.99
22.96,54.99
19.99,39.99
19.99,29.99
16.19,17.99
19.98,
63.99,104.99
37.19,44.0
49.99,69.99
47.97,68.97
12.13,40.28
24.99,29.95
51.3,57.0
78.4,98.0
89.1,99.0
49.99,69.99
21.98,
54.98,114.0
29.99,35.19
32.99,44.99
19.99,34.99
12.99,14.99
24.82,36.0
92.8,116.0
9.99,14.0
19.75,21.95
25.0,30.0
19.99,25.99
51.3,57.0
24.99,43.99
33.3,37.1
12.99,64.99
28.8,50.0
56.24,63.74
29.99,35.99
59.99,109.99
33.43,43.99
4.43,
92.69,102.99
49.99,69.99
15.6,26.0
22.99,29.62
39.59,43.99
32.99,127.99
14.98,16.94
17.99,69.99
14.99,42.99
29.99,39.99
62.74,72.52
25.19,27.99
7.96,17.61
22.1,38.6
9.79,10.88
17.7,23.13
19.99,22.99
39.99,99.0
69.99,83.99
96.0,120.0
23.99,49.99
24.95,28.49
104.0,130.0
12.97,
17.09,18.99
5.39,6.09
15.98,17.99
27.38,
11.98,
35.99,39.99
23.9,31.99
19.99,28.99
9.91,12.39
14.99,18.99
14.99,28.99
25.8,40.29
6.97,
10.35,19.99
13.5,20.25
39.95,
8.88,29.99
46.58,55.74
26.29,29.99
100.8,126.0
19.69,22.99
4.98,
14.99,24.99
42.74,109.99
12.99,19.99
17.09,18.99
2.72,
3.99,4.99
47.09,59.59
21.99,25.68
34.95,44.95
12.99,14.99
23.99,28.99
27.19,55.99
14.99,17.99
30.77,34.46
86.4,108.0
6.89,7.79
31.96,40.99
29.99,43.99
16.19,17.99
44.99,54.99
23.99,59.99
19.99,25.99
19.98,27.98
25.49,
14.99,69.99
68.99,82.92
13.96,20.98
27.99,32.99
46.99,62.0
25.41,
4.39,5.39
50.4,56.0
